"MakeModel";"Alias";"ModelId"
Aero Design AC500C;Carenado 500S Aero Commander VH-MIO;26
Aero Design AC500C;Carenado 500S Aero Commander VH-OHS;26
Aero Design AC500C;Carenado 500S Aero Commander WHITE;26
Aero Design AC500C;Carenado 500S Aero Commander XA-TRE;26
Aero Design AC500C;Carenado 500S EC-641;26
Aero Design AC500C;Carenado 500S TC Aero Commander Black I-CALT;26
Aero Design AC500C;Carenado 500S TC Aero Commander C-GAFA;26
Aero Design AC500C;Carenado 500S TC Aero Commander N10ET;26
Aero Design AC500C;Carenado 500S TC Aero Commander N120ET;26
Aero Design AC500C;Carenado 500S TC Aero Commander N15344;26
Aero Design AC500C;Carenado 500S TC Aero Commander N786E;26
Aero Design AC500C;Carenado 500S TC Aero Commander VH-MIO;26
Aero Design AC500C;Carenado 500S TC Aero Commander VH-OHS;26
Aero Design AC500C;Carenado 500S TC Aero Commander WHITE;26
Aero Design AC500C;Deer Valley Flying Club AC500 VC;26
Aero Design AC500C;Deer Valley Flying Club AC500vc;26
Aero Design AC500C;DVFC Aero Commander 500;26
Aero Design AC500C;GA-AI ac500s blue shrike;26
Aero Design AC680S;AC680;25
Aero Design AC680S;AC680 AE-4326 VC;25
Aero Design AC680S;AC680 IR-1555 VC;25
Aero Design AC680S;AC680 MU-1126 VC;25
Aero Design AC680S;AC680 N765T;25
Aero Design AC680S;AC680 NC7345;25
Aero Design AC680S;AC680 SR-0521;25
Aero Design AC680S;AC680 SR-0521 VC;25
Aero Design AC680S;AC680S;25
Aero Design AC680S;AC680S Altair;25
Aero Design AC680S;AC680S American Racing VC;25
Aero Design AC680S;AC680S BFU VC;25
Aero Design AC680S;AC680S Blue;25
Aero Design AC680S;AC680S Blue and White N5784F with VC;25
Aero Design AC680S;AC680S Blue VC;25
Aero Design AC680S;AC680S British Racing VC;25
Aero Design AC680S;AC680S C-WSLC;25
Aero Design AC680S;AC680S CONESUL PAX 1;25
Aero Design AC680S;AC680S EFFC Classic;25
Aero Design AC680S;AC680S EFFC Swoosh;25
Aero Design AC680S;AC680S FedEx;25
Aero Design AC680S;AC680S German Racing VC;25
Aero Design AC680S;AC680S Hellenic Army Aviation;25
Aero Design AC680S;AC680S Hobo;25
Aero Design AC680S;AC680S Honda Racing;25
Aero Design AC680S;AC680S IFC vc;25
Aero Design AC680S;AC680S Ike U4B;25
Aero Design AC680S;AC680S Ike U4B NO VC;25
Aero Design AC680S;AC680S Ike U4B VC;25
Aero Design AC680S;AC680S Ike U4B VC WIP;25
Aero Design AC680S;AC680S MAC VC;25
Aero Design AC680S;AC680S Margarita Air Club;25
